시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,52,44,0,Mar-24,Apr-24,준공,
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,60,24,0,Mar-24,Apr-24,준공,
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,39.9,74,0,Mar-24,Apr-24,준공,
고양시,덕양구,삼송동,경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,㈜대송,㈜생보부동산신탁,민간,분양,84.74,20,16,Jun-24,Nov-24,준공,
고양시,덕양구,삼송동,경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,㈜대송,㈜생보부동산신탁,민간,분양,84.63,20,15,Jun-24,Nov-24,준공,
고양시,덕양구,삼송동,경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,㈜대송,㈜생보부동산신탁,민간,분양,84.96,40,17,Jun-24,Nov-24,준공,
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,84.97,337,3,Sep-24,Jan-24,준공,
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,84.98,337,4,Sep-24,Jan-24,준공,
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,72.95,214,2,Sep-24,Jan-24,준공,
고양시,덕양구,지축동,경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,한림건설㈜,한림건설㈜,민간,분양,72.94,214,1,Sep-24,Jan-24,준공,
고양시,일산동구,풍동,경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),요진건설산업㈜,요진개발㈜,민간,분양,40,116,8,Mar-24,Apr-24,준공,
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,84.9,146,2,Aug-24,Jul-24,준공,
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,74.9,58,2,Aug-24,Jul-24,준공,
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,74.9,110,1,Aug-24,Jul-24,준공,
광주시,,초월읍,경기도 광주시 쌍동리 252-7번지,"㈜모아종합건설,(주)미래도건선",대영건설산업㈜,민간,분양,84.9,171,1,Aug-24,Jul-24,준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,84,24,3,May-24,Dec-24,미준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,84,89,5,May-24,Dec-24,미준공,
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,63,79,0,Oct-24,Jun-24,미준공,
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,76,32,1,Oct-24,Jun-24,미준공,
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,76,117,14,Oct-24,Jun-24,미준공,
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,84,522,169,Oct-24,Jun-24,미준공,
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,84,386,155,Oct-24,Jun-24,미준공,
김포시,,고촌읍,경기도 김포시 고촌읍 신곡리 1072-2,GS건설㈜,한국투자부동산신탁㈜,민간,분양,105,161,49,Oct-24,Jun-24,미준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,84,154,5,May-24,Dec-24,미준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,74,71,0,May-24,Dec-24,미준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,74,110,0,May-24,Dec-24,미준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,59,106,0,May-24,Dec-24,미준공,
김포시,,북변동,경기도 김포시 북변동 329-2,우미건설㈜,북변3구역 주택재개발,민간,분양,59,277,0,May-24,Dec-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,22,2,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,6,0,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,6,1,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,6,0,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,7,0,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,7,0,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,111,8,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,5,0,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,66,8,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,32,2,Aug-24,Jun-24,미준공,
김포시,,장기동,경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),범양건영㈜,온동네디엔아이㈜,민간,분양,84.9,18,2,Aug-24,Jun-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 256-1,극동건설㈜,신유건설,민간,분양,59,86,86,Aug-24,Aug-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 256-1,극동건설㈜,신유건설,민간,분양,59,45,45,Aug-24,Aug-24,미준공,
남양주시,,진건읍,경기도 남양주시 진건읍 퇴계원리 102-8,청광건설,주원산업개발,민간,분양,59,26,22,May-24,Sep-24,미준공,
남양주시,,진건읍,경기도 남양주시 진건읍 퇴계원리 102-8,청광건설,주원산업개발,민간,분양,59,13,11,May-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 월산리 81 월산 사랑으로 부영아파트,㈜부영주택,㈜부영주택,민간,분양,148,390,77,May-24,Oct-24,준공,
남양주시,,화도읍,경기도 남양주시 답내리 516-4 답내 사랑으로 부영아파트,㈜부영주택,㈜부영주택,민간,분양,148,148,82,May-24,Oct-24,준공,
남양주시,,다산동,경기도 남양주시 다산동 3473,효성중공업㈜,코리아신탁㈜,민간,분양,84,350,0,Apr-24,Feb-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98,50,12,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98,25,1,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,98,75,2,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,84,75,0,Jul-24,Sep-24,미준공,
남양주시,,화도읍,경기도 남양주시 화도읍 마석우리 295-32,신세계건설㈜,에코월드,민간,분양,84,25,0,Jul-24,Sep-24,미준공,
남양주시,,금곡동,경기도 남양주시 금곡동 404-20,한신공영㈜,금곡지역주택조합,민간,분양,60,159,1,Jun-24,Feb-24,미준공,
남양주시,,별내동,경기도 남양주시 별내동 999,GS건설,한국자산신탁,민간,분양,84,520,1,Oct-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65,92,55,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65,127,73,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,65,54,6,Apr-24,Dec-24,미준공,
동두천시,,생연동,경기도 동두천시 생연동 284,㈜이수건설,대한토지신탁,민간,분양,74,4,0,Apr-24,Dec-24,미준공,
